Volksabstimmung vom 30 November 2008;Abst-Nr;538;
Volksinitiative «für eine vernünftige Hanf-Politik mit wirksamem Jugendschutz»;
2108;Vallemaggia;4194;1527;36.4;1474;544;36.9;
2221;Aigle;20745;10186;49.1;9914;2708;27.3;
2222;Broye-Vully;21133;9945;47.1;9669;2428;25.1;
2223;Gros-de-Vaud;23902;12891;53.9;12499;3064;24.5;
2224;Jura-Nord vaudois;48428;24439;50.5;23786;6569;27.6;
2225;Lausanne;75494;39762;52.7;37848;13585;35.9;
2226;Lavaux-Oron;34024;19547;57.5;18971;4746;25.0;
2227;Morges;42590;23294;54.7;22642;5794;25.6;
2228;Nyon;45469;23348;51.3;22676;6327;27.9;
2229;Ouest lausannois;30279;14216;47.0;13777;4208;30.5;
2230;Riviera-Pays-d'Enhaut;41574;20826;50.1;20193;5738;28.4;
2301;Brig;18062;8966;49.6;8687;3069;35.3;
2302;Conthey;15246;8602;56.4;8296;2167;26.1;
2303;Entremont;8968;5032;56.1;4812;1118;23.2;
2304;Goms;3580;1801;50.3;1736;617;35.5;
2305;Hérens;7912;5640;71.3;5452;1430;26.2;
2306;Leuk;8686;4954;57.0;4842;1740;35.9;
